Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,200.0,-85.0,0.0,top
C1,217.28,-81.5175,90.0,top
C10,157.02,-65.42,0.0,bottom
C11,211.47,-63.23,0.0,top
C12,211.66,-112.3475,90.0,top
C13,221.09,-112.86,90.0,top
C14,201.45,-55.12,90.0,top
C15,177.11,-65.6,180.0,top
C16,219.285,-48.5675,90.0,top
C17,221.795,-48.5675,90.0,top
C18,231.8325,-47.6,0.0,top
C2,210.87,-87.28,0.0,top
C3,210.86,-88.96,0.0,top
C4,210.86,-90.56,0.0,top
C5,210.86,-92.14,0.0,top
C6,213.81,-72.3,270.0,top
C7,215.39,-72.3,90.0,top
C8,146.3325,-81.06,180.0,top
C9,149.74,-82.05,0.0,top
D1,183.81,-93.59,0.0,top
D10,222.73,-91.79,180.0,top
D11,222.73,-85.17,180.0,top
D2,174.0,-88.3,180.0,bottom
D3,165.155,-88.2,180.0,bottom
D4,148.7,-88.2,180.0,bottom
D5,156.8,-88.3,180.0,bottom
D6,186.35,-44.7,0.0,top
D7,222.67,-44.13,180.0,top
D8,222.73,-105.03,180.0,top
D9,222.73,-98.41,180.0,top
J1,150.125,-54.3925,0.0,top
J6,240.44,-52.0,90.0,top
J7,189.73,-83.46,0.0,top
L1,214.305,-81.86,0.0,top
L2,188.41,-54.94,270.0,top
Q1,184.01,-79.44,180.0,top
Q2,177.3,-79.44,180.0,top
Q3,167.5,-79.44,180.0,top
Q4,172.5,-79.44,180.0,top
R1,220.22,-76.33,180.0,top
R10,178.626667,-75.7,270.0,top
R11,170.1,-75.7,270.0,top
R12,174.363333,-75.7,270.0,top
R13,207.0,-44.05,90.0,bottom
R14,203.1,-75.1,0.0,top
R15,212.0,-44.05,90.0,bottom
R16,209.0,-75.1,0.0,top
R17,197.0,-44.05,90.0,bottom
R18,191.0,-75.16,0.0,top
R19,202.0,-44.05,90.0,bottom
R2,220.21,-74.78,180.0,top
R20,197.0,-75.08,0.0,top
R21,233.12,-50.57,0.0,top
R22,233.36,-55.65,0.0,top
R23,167.0275,-61.41,180.0,top
R24,211.68,-115.78,90.0,top
R25,221.29,-116.4,90.0,top
R3,220.2125,-79.5,180.0,top
R4,220.23,-77.92,180.0,top
R5,220.0875,-72.0,0.0,top
R6,210.0,-82.0,180.0,top
R7,160.64,-65.43,0.0,bottom
R8,161.58,-68.23,90.0,bottom
R9,182.89,-75.7,270.0,top
RJ1,230.625,-67.16,180.0,top
RLY1,173.55,-93.8,270.0,top
RLY2,165.3,-93.8,270.0,top
RLY3,157.05,-93.8,270.0,top
RLY4,148.8,-93.8,270.0,top
SW1,214.59,-116.74,90.0,top
SW2,218.82,-116.74,90.0,top
U1,156.0,-69.9,0.0,top
U10,222.238333,-34.35,180.0,top
U11,207.0,-68.0,180.0,top
U12,180.735833,-34.35,180.0,top
U13,189.0,-68.0,180.0,top
U14,194.57,-34.35,180.0,top
U15,195.0,-68.0,180.0,top
U16,216.995,-64.385,90.0,top
U17,183.8,-59.2,270.0,bottom
U18,162.0,-52.0,90.0,top
U19,166.39,-34.44,180.0,top
U2,215.29,-77.02125,270.0,top
U20,228.97,-51.43,180.0,top
U21,223.97,-51.47,180.0,top
U22,174.0,-50.0,90.0,top
U23,227.7,-48.0,90.0,top
U3,200.35,-99.57,180.0,top
U4,203.81,-115.94,0.0,top
U5,191.36,-115.94,0.0,top
U6,166.46,-115.94,0.0,top
U7,178.91,-115.94,0.0,top
U8,201.0,-68.0,180.0,top
U9,208.404166,-34.35,180.0,top
X1,206.4,-78.28,0.0,top
